Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,918,50,14,280,0.9483471074380165,0.9523809523809523,0.9870727216506437,0.8974358974358975,0.9492868462757528
2,797,26,25,414,0.968408262454435,0.9430523917995444,0.9907665992244608,0.9419795221843004,0.9595879556259905
3,729,38,19,472,0.9504563233376793,0.9613034623217923,0.9909611600729693,0.9430569430569431,0.9546899841017488
4,690,35,18,508,0.9517241379310345,0.9657794676806084,0.9927756653992396,0.950420954162769,0.9576338928856915
5,364,22,18,347,0.9430051813471503,0.9506849315068493,0.9913194690893605,0.9455040871934605,0.9467376830892144
6,345,19,14,360,0.9478021978021978,0.9625668449197861,0.991075101369219,0.9561752988047809,0.9552845528455285
7,68,8,6,179,0.8947368421052632,0.9675675675675676,0.9900426742532006,0.9623655913978495,0.946360153256705
8,64,10,4,181,0.8648648648648649,0.9783783783783784,0.9902118334550767,0.9627659574468085,0.9459459459459459
1,902,73,22,264,0.9251282051282051,0.9230769230769231,0.9747211762596377,0.8475120385232745,0.9246629659000793
2,770,44,18,430,0.9459459459459459,0.9598214285714286,0.9867140882765882,0.9327548806941431,0.9508716323296355
3,726,45,11,476,0.9416342412451362,0.9774127310061602,0.987226914032018,0.9444444444444444,0.9554848966613673
4,676,41,14,520,0.9428172942817294,0.9737827715355806,0.9888659050663657,0.9497716894977168,0.95603517186251
5,352,27,5,367,0.9287598944591029,0.9865591397849462,0.9892614974324057,0.95822454308094,0.9573901464713716
6,335,23,9,371,0.9357541899441341,0.9763157894736842,0.9879226698029991,0.958656330749354,0.9566395663956639
7,71,10,1,179,0.8765432098765432,0.9944444444444445,0.9893004115226337,0.9701897018970189,0.9578544061302682
8,70,9,2,179,0.8860759493670886,0.988950276243094,0.9885306664801734,0.9701897018970189,0.9576923076923077
1,885,63,13,301,0.9335443037974683,0.9585987261146497,0.9870192695315649,0.887905604719764,0.9397781299524565
2,758,29,23,452,0.963151207115629,0.9515789473684211,0.9940587173142513,0.9456066945606695,0.9587955625990491
3,705,30,19,504,0.9591836734693877,0.9636711281070746,0.9954527126338107,0.9536423841059603,0.9610492845786963
4,677,21,22,531,0.9699140401146131,0.9602169981916817,0.9948600237309388,0.9610859728506788,0.9656274980015987
5,349,9,17,376,0.9748603351955307,0.9567430025445293,0.9942499324775753,0.9665809768637532,0.9653794940079894
6,329,5,16,388,0.9850299401197605,0.9603960396039604,0.9936191972490662,0.973651191969887,0.9715447154471545
7,62,3,5,191,0.9538461538461539,0.9744897959183674,0.9899529042386186,0.9794871794871794,0.9693486590038314
8,61,4,4,190,0.9384615384615385,0.979381443298969,0.9900079302141158,0.979381443298969,0.9691119691119691
