keys
year
Current_Assets
COGS
Depreciation_Amortization
EBITDA
Inventory
Net_Income
Receivables
Market_Value
Net_Sales
Total_Assets
Long-term_Debt
EBIT
Gross_Profit
Current_Liabilities
Retained_Earnings
Total_Revenue
Total_Liabilities
Operating_Expenses
