Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,1021,589,81,71,0.6341614906832298,0.46710526315789475,0.5773864007845702,0.1748768472906404,0.619750283768445
2,1012,598,75,77,0.6285714285714286,0.506578947368421,0.5965184700882642,0.18621523579201935,0.6180476730987514
3,987,623,73,79,0.6130434782608696,0.5197368421052632,0.6043723439032364,0.18501170960187355,0.604994324631101
4,986,624,59,93,0.6124223602484472,0.6118421052631579,0.629662471395881,0.2140391254315305,0.612372304199773
5,1030,580,59,93,0.639751552795031,0.6118421052631579,0.67019042170644,0.22545454545454546,0.6373439273552781
6,969,473,49,89,0.6719833564493759,0.644927536231884,0.722441657118736,0.2542857142857143,0.669620253164557
7,908,376,38,75,0.7071651090342679,0.6637168141592921,0.7544316709398174,0.26595744680851063,0.7036506800286327
8,847,302,31,59,0.7371627502175805,0.6555555555555556,0.7624891209747606,0.2616407982261641,0.7312348668280871
9,781,259,27,41,0.7509615384615385,0.6029411764705882,0.760774886877828,0.22282608695652173,0.7418772563176895
10,669,265,23,28,0.7162740899357601,0.5490196078431373,0.7224041650921611,0.16279069767441862,0.7076142131979696
1,998,612,63,89,0.6198757763975156,0.5855263157894737,0.6407915168355672,0.20867526377491208,0.6169125993189557
2,800,810,40,112,0.4968944099378882,0.7368421052631579,0.6560068649885583,0.2085661080074488,0.5175936435868331
3,698,912,35,117,0.4335403726708075,0.7697368421052632,0.6721681922196796,0.19813717188823032,0.4625425652667423
4,679,931,29,123,0.4217391304347826,0.8092105263157895,0.6804879045439687,0.20398009950248755,0.4551645856980704
5,708,902,31,121,0.43975155279503103,0.7960526315789473,0.7091533180778031,0.20595744680851064,0.47048808172531215
6,687,755,31,106,0.4764216366158114,0.7737226277372263,0.7077912874454579,0.2124248496993988,0.5022165927802407
7,658,632,30,79,0.5100775193798449,0.7247706422018348,0.6992390299409714,0.1926829268292683,0.5268048606147248
8,622,520,23,70,0.5446584938704028,0.7526881720430108,0.7204112761990847,0.20497803806734993,0.5603238866396761
9,572,473,18,56,0.5473684210526316,0.7567567567567568,0.745609724557093,0.1857379767827529,0.5612153708668454
10,501,435,12,46,0.5352564102564102,0.7931034482758621,0.7433502799882111,0.17068645640074212,0.5503018108651911
1,961,649,66,86,0.5968944099378882,0.5657894736842105,0.6325576168682576,0.1939120631341601,0.594211123723042
2,1121,489,78,74,0.6962732919254658,0.4868421052631579,0.6436825760052305,0.206993006993007,0.6782065834279228
3,1023,587,63,89,0.6354037267080745,0.5855263157894737,0.6615070284406668,0.21497584541062803,0.6311010215664018
4,949,661,59,93,0.5894409937888199,0.6118421052631579,0.6519900294213795,0.2052980132450331,0.5913734392735528
5,966,644,48,104,0.6,0.6842105263157895,0.6845292579274272,0.2311111111111111,0.6072644721906924
6,880,555,42,93,0.6132404181184669,0.6888888888888889,0.7134907730029681,0.23754789272030652,0.6197452229299363
7,785,496,28,85,0.6128024980483997,0.7522123893805309,0.7404267959904113,0.24495677233429394,0.624103299856528
8,699,449,24,71,0.6088850174216028,0.7473684210526316,0.7430313588850174,0.23089430894308943,0.6194690265486725
9,646,398,21,54,0.6187739463601533,0.72,0.7478288633461047,0.2049335863377609,0.6255585344057194
10,545,387,15,49,0.5847639484978541,0.765625,0.7239471566523605,0.196,0.5963855421686747
