Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,506,502,12,30,0.501984126984127,0.7142857142857143,0.6233701814058956,0.10452961672473868,0.5104761904761905
2,363,595,22,61,0.37891440501043844,0.7349397590361446,0.6123827250547074,0.16508795669824086,0.40730067243035545
3,356,518,21,75,0.4073226544622426,0.78125,0.6255959191456903,0.21770682148040638,0.44432989690721647
4,304,437,29,64,0.41025641025641024,0.6881720430107527,0.5938937500906941,0.21548821548821548,0.4412470023980815
5,256,350,27,59,0.42244224422442245,0.686046511627907,0.5973981119042137,0.2383838383838384,0.4552023121387283
6,201,293,24,49,0.4068825910931174,0.6712328767123288,0.6318562475736231,0.236144578313253,0.4409171075837742
7,166,249,20,48,0.4,0.7058823529411765,0.6306874557051736,0.26301369863013696,0.44306418219461696
8,128,213,18,50,0.375366568914956,0.7352941176470589,0.5960410557184751,0.3021148036253776,0.4352078239608802
9,107,178,22,47,0.37543859649122807,0.6811594202898551,0.5716755657259089,0.3197278911564626,0.4350282485875706
10,91,155,22,47,0.3699186991869919,0.6811594202898551,0.5474843878873572,0.34686346863468637,0.4380952380952381
11,78,138,21,43,0.3611111111111111,0.671875,0.533203125,0.3510204081632653,0.43214285714285716
12,66,126,21,40,0.34375,0.6557377049180327,0.5227117486338798,0.3524229074889868,0.4189723320158103
13,71,101,18,40,0.4127906976744186,0.6896551724137931,0.5652566158781074,0.4020100502512563,0.4826086956521739
14,62,88,21,36,0.41333333333333333,0.631578947368421,0.5171929824561404,0.39779005524861877,0.47342995169082125
1,550,451,15,34,0.5494505494505495,0.6938775510204082,0.64706721849579,0.12734082397003746,0.5561904761904762
2,523,426,32,60,0.5511064278187566,0.6521739130434783,0.6322330141567782,0.20761245674740483,0.5600384245917387
3,519,348,43,60,0.5986159169550173,0.5825242718446602,0.6204745747528022,0.23483365949119372,0.5969072164948453
4,429,312,40,53,0.5789473684210527,0.5698924731182796,0.5998432806582211,0.2314410480349345,0.5779376498800959
5,349,260,37,46,0.5730706075533661,0.5542168674698795,0.5847231289690783,0.2365038560411311,0.5708092485549133
6,269,213,37,48,0.558091286307054,0.5647058823529412,0.5728093727117403,0.2774566473988439,0.5590828924162258
7,225,180,34,44,0.5555555555555556,0.5641025641025641,0.5681861348528014,0.2913907284768212,0.556935817805383
8,189,146,34,40,0.564179104477612,0.5405405405405406,0.5750302541347319,0.3076923076923077,0.5599022004889975
9,160,124,33,37,0.5633802816901409,0.5285714285714286,0.5701207243460764,0.3203463203463203,0.556497175141243
10,139,110,32,34,0.5582329317269076,0.5151515151515151,0.5536692223439212,0.3238095238095238,0.5492063492063493
11,124,92,29,35,0.5740740740740741,0.546875,0.5526620370370371,0.36649214659685864,0.5678571428571428
12,109,81,35,28,0.5736842105263158,0.4444444444444444,0.52046783625731,0.32558139534883723,0.541501976284585
13,91,77,35,27,0.5416666666666666,0.43548387096774194,0.4771505376344087,0.3253012048192771,0.5130434782608696
14,84,68,28,27,0.5526315789473685,0.4909090909090909,0.49904306220095696,0.36,0.5362318840579711
1,718,285,28,19,0.715852442671984,0.40425531914893614,0.5541036465072865,0.10826210826210826,0.7019047619047619
2,670,284,51,36,0.7023060796645703,0.41379310344827586,0.5689173233089955,0.1769041769041769,0.6781940441882806
3,606,270,53,41,0.6917808219178082,0.43617021276595747,0.5837705236568542,0.20246913580246914,0.6670103092783505
4,506,235,53,40,0.6828609986504723,0.43010752688172044,0.5699795394192677,0.21739130434782608,0.6546762589928058
5,405,198,52,37,0.6716417910447762,0.4157303370786517,0.5649468015726611,0.22839506172839505,0.638728323699422
6,322,152,58,35,0.679324894514768,0.3763440860215054,0.5563722154167234,0.25,0.6296296296296297
7,273,120,60,30,0.6946564885496184,0.3333333333333333,0.5621147865422674,0.25,0.6273291925465838
8,225,97,56,31,0.6987577639751553,0.3563218390804598,0.5763546798029556,0.28837209302325584,0.6259168704156479
9,194,77,55,28,0.7158671586715867,0.3373493975903614,0.5667541012759525,0.2978723404255319,0.6271186440677966
10,163,70,54,28,0.6995708154506438,0.34146341463414637,0.5662619072542657,0.3111111111111111,0.6063492063492063
11,142,61,52,25,0.6995073891625616,0.3246753246753247,0.5478856119250208,0.3067484662576687,0.5964285714285714
12,127,53,49,24,0.7055555555555556,0.3287671232876712,0.5479452054794519,0.32,0.5968379446640316
13,111,50,46,23,0.6894409937888198,0.3333333333333333,0.5342515077864795,0.323943661971831,0.5826086956521739
14,91,51,44,21,0.6408450704225352,0.3230769230769231,0.5276273022751896,0.30656934306569344,0.5410628019323671
