Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,809,159,161,133,0.8357438016528925,0.4523809523809524,0.6509845673806712,0.4539249146757679,0.7464342313787639
2,0,823,0,439,0.0,1.0,0.5,0.5161669606114051,0.3478605388272583
3,767,0,491,0,1.0,0.0,0.5,0.0,0.609697933227345
4,0,725,0,526,0.0,1.0,0.5,0.5920090039392234,0.42046362909672264
5,0,386,0,365,0.0,1.0,0.5,0.6541218637992832,0.48601864181091875
6,0,364,0,374,0.0,1.0,0.5,0.6726618705035972,0.5067750677506775
7,0,76,0,185,0.0,1.0,0.5,0.8295964125560538,0.7088122605363985
8,74,0,185,0,1.0,0.0,0.5,0.0,0.2857142857142857
1,0,975,0,286,0.0,1.0,0.5,0.3697478991596639,0.2268041237113402
2,0,814,0,448,0.0,1.0,0.5,0.5239766081871345,0.3549920760697306
3,771,0,487,0,1.0,0.0,0.5,0.0,0.6128775834658188
4,0,717,0,534,0.0,1.0,0.5,0.5983193277310924,0.42685851318944845
5,0,379,0,372,0.0,1.0,0.5,0.6625111308993766,0.49533954727030627
6,0,358,0,380,0.0,1.0,0.5,0.6797853309481217,0.5149051490514905
7,0,81,0,180,0.0,1.0,0.5,0.8163265306122449,0.6896551724137931
8,79,0,181,0,1.0,0.0,0.5,0.0,0.3038461538461538
1,0,948,0,314,0.0,1.0,0.5,0.39847715736040606,0.24881141045958796
2,0,787,0,475,0.0,1.0,0.5,0.5469199769717904,0.3763866877971474
3,735,0,523,0,1.0,0.0,0.5,0.0,0.5842607313195548
4,0,698,0,553,0.0,1.0,0.5,0.6130820399113082,0.44204636290967225
5,0,358,0,393,0.0,1.0,0.5,0.6870629370629371,0.5233022636484687
6,0,334,0,404,0.0,1.0,0.5,0.7075306479859895,0.5474254742547425
7,0,65,0,196,0.0,1.0,0.5,0.8577680525164114,0.7509578544061303
8,65,0,194,0,1.0,0.0,0.5,0.0,0.25096525096525096
