Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,925,43,14,280,0.9555785123966942,0.9523809523809523,0.9891458649575533,0.9076175040518638,0.9548335974643423
2,789,34,22,417,0.9586877278250304,0.9498861047835991,0.9929919152387094,0.9370786516853933,0.9556259904912837
3,727,40,15,476,0.9478487614080835,0.9694501018329938,0.9935713773609456,0.945382323733863,0.9562798092209857
4,691,34,16,510,0.953103448275862,0.9695817490494296,0.9938193260784056,0.9532710280373832,0.9600319744204636
5,366,20,10,355,0.9481865284974094,0.9726027397260274,0.9935339626659097,0.9594594594594594,0.9600532623169108
6,347,17,7,367,0.9532967032967034,0.9812834224598931,0.9941602515131928,0.9683377308707124,0.967479674796748
7,68,8,5,180,0.8947368421052632,0.972972972972973,0.9909672830725462,0.9651474530831099,0.9501915708812261
8,65,9,3,182,0.8783783783783784,0.9837837837837838,0.9906501095690285,0.9680851063829787,0.9536679536679536
1,892,83,23,263,0.9148717948717948,0.9195804195804196,0.9707154384077461,0.8322784810126582,0.91593973037272
2,777,37,23,425,0.9545454545454546,0.9486607142857143,0.9893877237627238,0.9340659340659341,0.9524564183835182
3,730,41,18,469,0.9468223086900129,0.9630390143737166,0.9892004037530927,0.9408224674022067,0.9531001589825119
4,685,32,25,509,0.9553695955369595,0.9531835205992509,0.9910572036001024,0.9469767441860465,0.9544364508393285
5,359,20,17,355,0.9472295514511874,0.9543010752688172,0.9883394331432462,0.9504685408299867,0.9507323568575233
6,338,20,18,362,0.9441340782122905,0.9526315789473684,0.9881725962952073,0.9501312335958005,0.948509485094851
7,74,7,6,174,0.9135802469135802,0.9666666666666667,0.9882716049382716,0.96398891966759,0.9501915708812261
8,73,6,7,174,0.9240506329113924,0.9613259668508287,0.9865724875865445,0.96398891966759,0.95
1,889,59,17,297,0.9377637130801688,0.945859872611465,0.9822321212609852,0.8865671641791045,0.9397781299524565
2,755,32,25,450,0.9593392630241423,0.9473684210526315,0.9925205644352304,0.9404388714733543,0.9548335974643423
3,708,27,22,501,0.963265306122449,0.9579349904397706,0.9924194534410322,0.9533777354900095,0.9610492845786963
4,680,18,37,516,0.9742120343839542,0.9330922242314648,0.9913211086182687,0.9494020239190433,0.95603517186251
5,349,9,24,369,0.9748603351955307,0.9389312977099237,0.9919470624191508,0.9571984435797666,0.9560585885486018
6,327,7,31,373,0.9790419161676647,0.9232673267326733,0.989921147803403,0.951530612244898,0.948509485094851
7,64,1,7,189,0.9846153846153847,0.9642857142857143,0.9857927786499214,0.9792746113989638,0.9693486590038314
8,64,1,9,185,0.9846153846153847,0.9536082474226805,0.9857256145915939,0.9736842105263158,0.9613899613899614
