Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,930,38,9,285,0.9607438016528925,0.9693877551020408,0.9960294034969359,0.9238249594813615,0.9627575277337559
2,813,10,18,421,0.9878493317132442,0.958997722095672,0.9977442381198848,0.967816091954023,0.9778129952456418
3,753,14,12,479,0.9817470664928292,0.9755600814663951,0.9980005151395258,0.9735772357723578,0.9793322734499205
4,714,11,9,517,0.9848275862068966,0.9828897338403042,0.998557755342861,0.9810246679316889,0.9840127897681854
5,379,7,8,357,0.9818652849740933,0.9780821917808219,0.9979842430264746,0.9794238683127572,0.9800266311584553
6,356,8,7,367,0.978021978021978,0.9812834224598931,0.9985896456484693,0.9799732977303071,0.9796747967479674
7,72,4,3,182,0.9473684210526315,0.9837837837837838,0.9979374110953059,0.9811320754716981,0.9731800766283525
8,70,4,3,182,0.9459459459459459,0.9837837837837838,0.9972242512783053,0.9811320754716981,0.972972972972973
1,919,56,12,274,0.9425641025641026,0.958041958041958,0.9905397166935629,0.8896103896103896,0.9460745440126883
2,797,17,6,442,0.9791154791154791,0.9866071428571429,0.9965571801509301,0.9746416758544653,0.9817749603803486
3,754,17,3,484,0.9779507133592736,0.9938398357289527,0.9965483904473509,0.979757085020243,0.9841017488076311
4,703,14,5,529,0.9804741980474198,0.9906367041198502,0.9964779903781362,0.9823584029712163,0.9848121502797762
5,372,7,2,370,0.9815303430079155,0.9946236559139785,0.9956592050387266,0.9879839786381842,0.9880159786950732
6,351,7,3,377,0.9804469273743017,0.9921052631578947,0.995093354895619,0.9869109947643979,0.986449864498645
7,80,1,0,180,0.9876543209876543,1.0,0.9934499314128943,0.997229916897507,0.9961685823754789
8,78,1,1,180,0.9873417721518988,0.994475138121547,0.993356178753759,0.994475138121547,0.9923076923076923
1,886,62,8,306,0.9345991561181435,0.9745222929936306,0.9931401005133167,0.8973607038123167,0.9445324881141046
2,772,15,8,467,0.9809402795425667,0.9831578947368421,0.9985741991573597,0.9759665621734587,0.9817749603803486
3,722,13,8,515,0.9823129251700681,0.9847036328871893,0.9990634877277872,0.9800190294957184,0.9833068362480127
4,687,11,7,546,0.9842406876790831,0.9873417721518988,0.9992072415633403,0.9837837837837838,0.9856115107913669
5,349,9,7,386,0.9748603351955307,0.9821882951653944,0.9986921972507712,0.9796954314720813,0.9786950732356857
6,326,8,8,396,0.9760479041916168,0.9801980198019802,0.9990365803047371,0.9801980198019802,0.978319783197832
7,64,1,4,192,0.9846153846153847,0.9795918367346939,0.9994505494505495,0.987146529562982,0.9808429118773946
8,64,1,4,190,0.9846153846153847,0.979381443298969,0.9992069785884219,0.987012987012987,0.9806949806949807
