Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,910,58,2,292,0.9400826446280992,0.9931972789115646,0.9935205487153539,0.906832298136646,0.9524564183835182
2,791,32,8,431,0.9611178614823815,0.9817767653758542,0.9970107695330989,0.9556541019955654,0.9683042789223455
3,728,39,7,484,0.9491525423728814,0.9857433808553971,0.9967339091920541,0.9546351084812623,0.9634340222575517
4,695,30,12,514,0.9586206896551724,0.9771863117870723,0.9971810672610464,0.9607476635514018,0.9664268585131894
5,368,18,11,354,0.9533678756476683,0.9698630136986301,0.9963872524664632,0.9606512890094979,0.9613848202396804
6,353,11,10,364,0.9697802197802198,0.9732620320855615,0.9966724452018569,0.9719626168224299,0.9715447154471545
7,71,5,4,181,0.9342105263157895,0.9783783783783784,0.9947368421052631,0.9757412398921833,0.9655172413793104
8,69,5,4,181,0.9324324324324325,0.9783783783783784,0.9940102264426589,0.9757412398921833,0.9652509652509652
1,918,57,10,276,0.9415384615384615,0.965034965034965,0.9915043930428545,0.8917609046849758,0.9468675654242664
2,799,15,4,444,0.9815724815724816,0.9910714285714286,0.9977322086697086,0.9790518191841234,0.9849445324881141
3,753,18,3,484,0.9766536964980544,0.9938398357289527,0.9976589777802635,0.9787664307381193,0.9833068362480127
4,702,15,2,532,0.9790794979079498,0.9962546816479401,0.9976624407774801,0.9842738205365402,0.9864108713029577
5,372,7,1,371,0.9815303430079155,0.9973118279569892,0.9969430022413255,0.9893333333333333,0.9893475366178429
6,352,6,2,378,0.9832402234636871,0.9947368421052631,0.9968685680682152,0.9895287958115183,0.989159891598916
7,79,2,0,180,0.9753086419753086,1.0,0.9976680384087792,0.994475138121547,0.9923371647509579
8,77,2,0,181,0.9746835443037974,1.0,0.9976921463039373,0.9945054945054945,0.9923076923076923
1,901,47,7,307,0.95042194092827,0.9777070063694268,0.9948869897067913,0.9191616766467066,0.9572107765451664
2,774,13,6,469,0.9834815756035579,0.9873684210526316,0.998587574399786,0.9801462904911181,0.9849445324881141
3,722,13,7,516,0.9823129251700681,0.9866156787762906,0.999125921879268,0.9809885931558935,0.9841017488076311
4,687,11,9,544,0.9842406876790831,0.9837251356238698,0.9991191572926004,0.9819494584837545,0.9840127897681854
5,353,5,11,382,0.9860335195530726,0.9720101781170484,0.9986708743798599,0.9794871794871794,0.9786950732356857
6,329,5,10,394,0.9850299401197605,0.9752475247524752,0.9986363905851663,0.9813200498132005,0.9796747967479674
7,65,0,1,195,1.0,0.9948979591836735,0.9999215070643642,0.9974424552429667,0.9961685823754789
8,65,0,1,193,1.0,0.9948453608247423,0.9999206978588422,0.9974160206718347,0.9961389961389961
