Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,1143,467,90,62,0.7099378881987578,0.40789473684210525,0.5830827067669173,0.18208516886930984,0.6838819523269013
2,1227,383,93,59,0.762111801242236,0.3881578947368421,0.6091001961425303,0.19865319865319866,0.7298524404086265
3,1239,371,87,65,0.7695652173913043,0.4276315789473684,0.6539718862373324,0.22108843537414966,0.7400681044267877
4,1223,387,82,70,0.7596273291925466,0.4605263157894737,0.6565728179143511,0.22988505747126436,0.7338251986379115
5,1252,358,79,73,0.7776397515527951,0.48026315789473684,0.693367930696306,0.2504288164665523,0.7519863791146425
6,1167,275,65,73,0.8092926490984743,0.5289855072463768,0.7320599409033347,0.3004115226337449,0.7848101265822784
7,1041,243,51,62,0.8107476635514018,0.5486725663716814,0.7489799575441789,0.2966507177033493,0.7895490336435218
8,936,213,40,50,0.814621409921671,0.5555555555555556,0.7568078522386618,0.28328611898017,0.7958030669895076
9,845,195,29,39,0.8125,0.5735294117647058,0.7416006787330316,0.2582781456953642,0.7978339350180506
10,739,195,23,28,0.791220556745182,0.5490196078431373,0.7295734139480203,0.20437956204379562,0.7786802030456853
1,1133,477,73,79,0.7037267080745342,0.5197368421052632,0.6429940339980387,0.2231638418079096,0.6878547105561862
2,1189,421,78,74,0.7385093167701864,0.4868421052631579,0.6690196959790781,0.2287480680061824,0.7167990919409761
3,1136,474,70,82,0.7055900621118012,0.5394736842105263,0.6710526315789473,0.23163841807909605,0.6912599318955732
4,1130,480,65,87,0.7018633540372671,0.5723684210526315,0.696189522719843,0.24200278164116829,0.6906923950056754
5,1127,483,57,95,0.7,0.625,0.706985534488395,0.2602739726027397,0.6935300794551645
6,1028,414,51,86,0.7128987517337032,0.6277372262773723,0.7254421575872927,0.27001569858712715,0.7055098163394553
7,932,358,38,71,0.7224806201550388,0.6513761467889908,0.7220894673209588,0.26394052044609667,0.7169406719085061
8,846,296,34,59,0.7408056042031523,0.6344086021505376,0.7421708754684293,0.26339285714285715,0.7327935222672065
9,778,267,20,54,0.7444976076555024,0.7297297297297297,0.7960946592525541,0.27341772151898736,0.743521000893655
10,673,263,18,40,0.719017094017094,0.6896551724137931,0.781765767757147,0.22160664819944598,0.7173038229376257
1,1025,585,67,85,0.6366459627329193,0.5592105263157895,0.6328457012095455,0.20681265206812652,0.6299659477866061
2,1094,516,69,83,0.6795031055900621,0.5460526315789473,0.6549975482183721,0.2210386151797603,0.6679909194097616
3,1047,563,65,87,0.6503105590062112,0.5723684210526315,0.6707420725727362,0.2169576059850374,0.6435868331441543
4,1019,591,54,98,0.632919254658385,0.6447368421052632,0.6854445897352076,0.23305588585017836,0.6339387060158911
5,1038,572,49,103,0.6447204968944099,0.6776315789473685,0.7102811376266753,0.24909310761789602,0.6475595913734393
6,987,448,42,93,0.6878048780487804,0.6888888888888889,0.7240676216285971,0.27514792899408286,0.6878980891719745
7,865,416,36,77,0.6752537080405933,0.6814159292035398,0.7503816846628395,0.25412541254125415,0.6757532281205165
8,807,341,32,63,0.7029616724738676,0.6631578947368421,0.7575371355217312,0.25250501002004005,0.6999195494770716
9,733,311,27,48,0.7021072796934866,0.64,0.749667943805875,0.22119815668202766,0.6979445933869526
10,621,311,22,42,0.6663090128755365,0.65625,0.739018910944206,0.2014388489208633,0.6656626506024096
